Urban area (locality),Municipality,Population,Land area (hectares),Density (inh./km²),Code
Rättarboda,Upplands-Bro Municipality,237.0,36.06,657.24,286.0
Rättvik,Rättvik Municipality,4686.0,834.31,561.66,6716.0
Rävemåla,Tingsryd Municipality,294.0,61.26,479.92,1968.0
Rävlanda,Härryda Municipality,1462.0,146.37,998.84,4544.0
Råby,Håbo Municipality,885.0,91.94,962.58,618.0
Råda,Hagfors Municipality,448.0,101.38,441.90,5792.0
Råneå,Luleå Municipality,1912.0,205.48,930.50,8832.0
Rångedala,Borås Municipality,392.0,73.47,533.55,5000.0
Rånnaväg,Ulricehamn Municipality,336.0,49.35,680.85,5004.0
Rånäs,Norrtälje Municipality,428.0,54.94,779.03,294.0
Röbäck,Umeå Municipality,2230.0,118.78,1877.42,8304.0
Röda holme,Kungsbacka Municipality,279.0,49.83,559.90,3898.0
Rödbo,Gothenburg Municipality,278.0,40.55,685.57,4546.0
Rödeby,Karlskrona Municipality,3402.0,332.51,1023.13,2736.0
Röfors,Laxå Municipality,207.0,109.92,188.32,6100.0
Röke,Hässleholm Municipality,219.0,66.36,330.02,3044.0
Rönneshytta,Askersund Municipality,283.0,71.31,396.86,6104.0
Rönnäng,Tjörn Municipality,1437.0,157.27,913.72,4548.0
Rörvik,Sävsjö Municipality,523.0,92.57,564.98,1636.0
Rörö,Öckerö Municipality,269.0,52.76,509.86,4552.0
Röstånga,Svalöv Municipality,839.0,131.61,637.49,3660.0
Sala,Sala Municipality,12289.0,1101.42,1115.74,6312.0
Salbohed,Sala Municipality,259.0,75.39,343.55,6316.0
Saleby,Lidköping Municipality,232.0,47.90,484.34,5404.0
Saltsjöbaden,Nacka Municipality,9491.0,541.94,1751.30,296.0
Saltvik,Oskarshamn Municipality,352.0,26.13,1347.11,2394.0
Sandared,Borås Municipality,3160.0,255.11,1238.68,5008.0
Sandarne,Söderhamn Municipality,2067.0,475.73,434.49,7268.0
Sandhem,Mullsjö Municipality,702.0,132.45,530.01,5408.0
Sandhult,Borås Municipality,608.0,55.14,1102.65,5012.0
Sandskogen,Kävlinge Municipality,621.0,56.89,1091.58,3662.0
Sandslån,Kramfors Municipality,272.0,109.50,248.40,7636.0
Sandviken,Sandviken Municipality,22965.0,1565.98,1466.49,7272.0
Sandviken,Södertälje Municipality,338.0,71.55,472.40,310.0
Sangis,Kalix Municipality,572.0,247.86,230.78,8836.0
Sankt Olof,Simrishamn Municipality,624.0,73.45,849.56,3048.0
Sannahed,Kumla Municipality,417.0,46.27,901.23,6108.0
Saxdalen,Ludvika Municipality,604.0,175.19,344.77,6720.0
Saxtorpsskogen,Landskrona Municipality Kävlinge Municipality,973.0,145.88,666.99,3718.0
Segersta,Bollnäs Municipality,313.0,140.00,223.57,7276.0
Segersäng,Nynäshamn Municipality,608.0,56.12,1083.39,330.0
Segmon,Grums Municipality,437.0,131.44,332.47,5796.0
Selja,Mora Municipality,548.0,114.71,477.73,6724.0
Sennan,Halmstad Municipality,399.0,73.41,543.52,4076.0
Seskarö,Haparanda Municipality,491.0,161.52,303.99,8840.0
Sexdrega,Svenljunga Municipality,787.0,91.53,859.83,5016.0
Sibbhult,Östra Göinge Municipality,1364.0,147.25,926.32,3052.0
Sibble,Botkyrka Municipality,309.0,65.64,470.75,298.0
Sibo,Bollnäs Municipality,301.0,153.64,195.91,7280.0
Sidensjö,Örnsköldsvik Municipality,399.0,105.44,378.41,7644.0
Sifferbo,Gagnef Municipality,414.0,66.74,620.32,6728.0
Sigtuna,Sigtuna Municipality,8444.0,456.66,1849.08,300.0
Siljansnäs,Leksand Municipality,1268.0,380.98,332.83,6732.0
Silverdalen,Hultsfred Municipality,725.0,138.99,521.62,2400.0
Simlångsdalen,Halmstad Municipality,587.0,66.50,882.71,4080.0
Simonstorp,Norrköping Municipality,258.0,51.06,505.29,1232.0
Simris,Simrishamn Municipality,211.0,26.20,805.34,3056.0
Simrishamn,Simrishamn Municipality,6527.0,449.06,1453.48,3060.0
Sjuhalla,Karlskrona Municipality,204.0,45.54,447.96,2742.0
Sjulsmark,Piteå Municipality,350.0,64.62,541.63,8846.0
Sjunnen,Vetlanda Municipality,422.0,46.75,902.67,1644.0
Sjuntorp,Trollhättan Municipality,2124.0,240.15,884.45,5020.0
Sjöberg,Sollentuna Municipality,4310.0,138.90,3102.95,304.0
Sjöbo sommarby och Svansjö sommarby,Sjöbo Municipality,668.0,89.29,748.12,3714.0
Sjöbo,Sjöbo Municipality,6724.0,526.71,1276.60,3664.0
Sjödiken,Svedala Municipality,438.0,58.41,749.87,3668.0
Sjögestad,Linköping Municipality,300.0,41.38,724.99,1236.0
Sjömarken,Borås Municipality,2829.0,225.43,1254.94,5024.0
Sjörröd,Hässleholm Municipality,1077.0,213.31,504.90,3062.0
Sjösa,Nyköping Municipality,483.0,52.18,925.64,832.0
Sjötorp,Mariestad Municipality,494.0,85.01,581.11,5412.0
Sjövik,Lerum Municipality,905.0,83.96,1077.89,5032.0
Skagersvik,Gullspång Municipality,250.0,56.50,442.48,5416.0
Skanör med Falsterbo,Vellinge Municipality,6937.0,541.96,1279.98,3672.0
Skara,Skara Municipality,10841.0,768.20,1411.22,5420.0
Skattkärr,Karlstad Municipality,2135.0,207.15,1030.65,5800.0
Skattungbyn,Orsa Municipality,295.0,143.29,205.88,6736.0
Skavkulla och Skillingenäs,Karlskrona Municipality,621.0,89.17,696.42,2738.0
Skebobruk,Norrtälje Municipality,282.0,131.80,213.96,308.0
Skeda udde,Linköping Municipality,283.0,36.65,772.17,1238.0
Skedala,Halmstad Municipality,351.0,41.56,844.56,4084.0
Skede,Vetlanda Municipality,304.0,58.64,518.42,1648.0
Skedvi kyrkby,Säter Municipality,208.0,38.09,546.08,6764.0
Skee,Strömstad Municipality,583.0,111.74,521.75,4556.0
Skegrie,Trelleborg Municipality,1106.0,68.80,1607.56,3676.0
Skelleftehamn,Skellefteå Municipality,3184.0,401.24,793.54,8308.0
Skellefteå,Skellefteå Municipality,32775.0,2174.43,1507.29,8312.0
Skepparkroken,Ängelholm Municipality,743.0,78.10,951.34,3063.0
Skepplanda,Ale Municipality,1803.0,103.77,1737.50,5036.0
Skeppsdalsström,Värmdö Municipality,1573.0,283.72,554.42,312.0
Skeppshult,Gislaved Municipality,365.0,85.40,427.40,1652.0
Skillingaryd,Vaggeryd Municipality,3889.0,377.86,1029.22,1656.0
Skillinge,Simrishamn Municipality,859.0,86.72,990.54,3072.0
Skinnskatteberg,Skinnskatteberg Municipality,2287.0,291.52,784.51,6320.0
Skivarp,Skurup Municipality,1257.0,125.92,998.25,3680.0
Skoby,Östhammar Municipality Uppsala Municipality,230.0,44.83,513.05,614.0
Skog,Söderhamn Municipality,302.0,116.55,259.12,7284.0
Skoghall,Hammarö Municipality,13265.0,1060.74,1250.54,5804.0
Skogsby,Mörbylånga Municipality,569.0,78.50,724.84,2404.0
Skogstorp,Eskilstuna Municipality,2860.0,264.56,1081.04,840.0
Skogstorp,Falkenberg Municipality,2124.0,139.05,1527.51,4088.0
Skottorp,Laholm Municipality,475.0,76.02,624.84,4092.0
Skottsund,Sundsvall Municipality,1069.0,108.29,987.16,7652.0
Skrea,Falkenberg Municipality,1064.0,101.65,1046.73,4096.0
Skreanäs,Falkenberg Municipality,243.0,19.12,1270.92,4094.0
Skriketorp,Norrköping Municipality,246.0,31.88,771.64,1242.0
Skruv,Lessebo Municipality,490.0,124.64,393.13,1976.0
Skultorp,Skövde Municipality,3642.0,269.05,1353.65,5424.0
Skultuna,Västerås Municipality,3133.0,213.09,1470.27,6324.0
Skummeslövsstrand,Laholm Municipality,491.0,77.30,635.19,4098.0
Skumparp,Malmö Municipality,205.0,15.42,1329.44,3682.0
Skurup,Skurup Municipality,7565.0,476.73,1586.85,3684.0
Skutskär,Älvkarleby Municipality Gävle Municipality,6075.0,735.31,826.18,616.0
Skyttorp,Uppsala Municipality,666.0,88.98,748.48,620.0
Skällinge,Varberg Municipality,626.0,68.40,915.20,4100.0
Skänninge,Mjölby Municipality,3140.0,276.04,1137.52,1244.0
Skärblacka,Norrköping Municipality,4059.0,389.20,1042.91,1248.0
Skärgårdsstad,Österåker Municipality,1924.0,165.74,1160.85,306.0
Skärhamn,Tjörn Municipality,3193.0,246.49,1295.39,4560.0
Skärplinge,Tierp Municipality,673.0,95.08,707.82,624.0
Skärstad,Jönköping Municipality,341.0,23.26,1466.04,1660.0
Skånes-Fagerhult,Örkelljunga Municipality,856.0,164.24,521.19,3080.0
Skåpafors,Bengtsfors Municipality,313.0,112.30,278.72,5040.0
Skåre,Karlstad Municipality,5402.0,388.26,1391.34,5808.0
Sköldinge,Katrineholm Municipality,604.0,101.26,596.48,844.0
Sköllersta,Hallsberg Municipality,1131.0,164.18,688.88,6112.0
Skölsta,Uppsala Municipality,344.0,39.00,882.05,622.0
Skövde,Skövde Municipality,34466.0,2031.16,1696.86,5428.0
Slaka,Linköping Municipality,592.0,111.86,529.23,1252.0
Slite,Gotland Municipality,1483.0,250.71,591.52,2536.0
Slottsbron,Grums Municipality,1039.0,158.44,655.77,5810.0
Slottsskogen,Håbo Municipality,1492.0,166.60,895.56,626.0
Slöinge,Falkenberg Municipality,950.0,102.18,929.73,4104.0
Smedby,Kalmar Municipality,3487.0,205.93,1693.29,2408.0
Smedjebacken,Smedjebacken Municipality,5100.0,636.26,801.56,6744.0
Smedstorp,Tomelilla Municipality,363.0,59.38,611.32,3084.0
Smygehamn,Trelleborg Municipality,1278.0,104.77,1219.81,3688.0
Smålandsstenar,Gislaved Municipality,4530.0,464.88,974.45,1664.0
Smögen,Sotenäs Municipality,1329.0,104.91,1266.80,4564.0
Snöveltorp,Söderköping Municipality,333.0,60.63,549.23,1170.0
Solberga,Nässjö Municipality,374.0,67.28,555.89,1668.0
Solberga,Österåker Municipality,409.0,107.63,380.01,302.0
Sollebrunn,Alingsås Municipality,1440.0,140.04,1028.28,5044.0
Sollefteå,Sollefteå Municipality,8562.0,939.59,911.25,7660.0
Sollerön,Mora Municipality,901.0,250.42,359.80,6748.0
Solsidan,Ekerö Municipality,349.0,23.44,1488.91,318.0
Solvarbo,Säter Municipality,321.0,63.90,502.35,6752.0
Sommen,Tranås Municipality,772.0,129.05,598.22,1672.0
Sonstorp,Finspång Municipality,429.0,57.40,747.39,1256.0
Sorsele,Sorsele Municipality,1277.0,182.07,701.38,8316.0
Sorunda,Nynäshamn Municipality,1307.0,110.32,1184.74,320.0
Sparreholm,Flen Municipality,741.0,115.91,639.29,848.0
Spjutsbygd,Karlskrona Municipality,383.0,51.65,741.53,2744.0
Spångsholm,Mjölby Municipality,408.0,66.89,609.96,1260.0
Staffanstorp,Staffanstorp Municipality,14808.0,662.64,2234.70,3696.0
Stallarholmen,Strängnäs Municipality,1623.0,195.17,831.58,852.0
Stamsjö,Lerum Municipality,408.0,26.59,1534.41,4374.0
Starrkärr och Näs,Stenungsund Municipality,499.0,101.67,490.80,4566.0
Stava,Österåker Municipality,305.0,89.66,340.17,326.0
Stavreviken,Timrå Municipality,216.0,30.06,718.56,7668.0
Stavsjö,Nyköping Municipality,212.0,28.36,747.53,854.0
Stavsnäs,Värmdö Municipality,810.0,57.00,1421.05,324.0
Stehag,Eslöv Municipality,1122.0,85.54,1311.67,3700.0
Stenared,Gothenburg Municipality,237.0,27.41,864.65,4574.0
Stenhamra,Ekerö Municipality,3336.0,290.85,1146.98,328.0
Steninge,Halmstad Municipality,836.0,173.80,481.01,4106.0
Stensele,Storuman Municipality,546.0,124.94,437.01,8320.0
Stensjön,Nässjö Municipality,224.0,55.01,407.20,1676.0
Stenstorp,Falköping Municipality,1668.0,165.99,1004.88,5436.0
Stensund och Krymla,Trosa Municipality,346.0,86.72,398.99,790.0
Stenungsund,Stenungsund Municipality,9987.0,1111.74,898.32,4568.0
Stenungsön,Stenungsund Municipality,264.0,54.58,483.69,4578.0
Sticklinge udde,Lidingö Municipality,2943.0,121.77,2416.85,332.0
Stidsvig,Klippan Municipality,754.0,117.53,641.54,3092.0
Stigen,Färgelanda Municipality,428.0,70.12,610.38,5048.0
Stigtomta,Nyköping Municipality,1942.0,179.22,1083.58,856.0
Stjärnhov,Gnesta Municipality,549.0,96.60,568.32,860.0
Stoby,Hässleholm Municipality,745.0,68.99,1079.87,3096.0
Stocka,Nordanstig Municipality,382.0,91.52,417.40,7292.0
Stockamöllan,Eslöv Municipality,300.0,42.43,707.05,3704.0
Stockaryd,Sävsjö Municipality,958.0,164.73,581.56,1680.0
Stockvik,Sundsvall Municipality,2359.0,228.19,1033.79,7670.0
Stora Bugärde,Härryda Municipality,367.0,101.93,360.05,4570.0
Stora Dyrön,Tjörn Municipality,250.0,23.84,1048.66,4572.0
Stora Herrestad,Ystad Municipality,293.0,47.44,617.62,3708.0
Stora Höga,Stenungsund Municipality,2751.0,242.51,1134.39,4576.0
Stora Levene,Vara Municipality,761.0,100.68,755.86,5440.0
Stora Mellby,Alingsås Municipality,321.0,54.50,588.99,5052.0
Stora Mellösa,Örebro Municipality,776.0,72.33,1072.86,6116.0
Stora Vika,Nynäshamn Municipality,651.0,47.64,1366.50,340.0
Storebro,Vimmerby Municipality,972.0,141.71,685.91,2412.0
Storfors,Storfors Municipality,2337.0,286.76,814.97,5812.0
Storuman,Storuman Municipality,2207.0,311.53,708.44,8324.0
Storvik,Sandviken Municipality,2165.0,262.17,825.80,7296.0
Storvreta,Uppsala Municipality,6347.0,303.88,2088.65,628.0
Storå,Lindesberg Municipality,1933.0,612.81,315.43,6120.0
Strandhugget,Norrköping Municipality,261.0,22.94,1137.75,996.0
Strandnorum,Stenungsund Municipality,1251.0,81.60,1533.09,4580.0
Striberg,Nora Municipality,317.0,70.23,451.37,6124.0
Strängnäs,Strängnäs Municipality,12856.0,653.10,1968.46,868.0
Strålsnäs,Boxholm Municipality,410.0,63.81,642.53,1264.0
Strångsjö,Katrineholm Municipality,365.0,59.15,617.08,864.0
Stråssa,Lindesberg Municipality,306.0,154.17,198.48,6128.0
Strömma,Värmdö Municipality,579.0,231.83,249.75,342.0
Strömsbruk,Nordanstig Municipality,362.0,94.16,384.45,7304.0
Strömsfors,Norrköping Municipality,528.0,81.64,646.74,1268.0
Strömsholm,Hallstahammar Municipality,664.0,128.88,515.21,6328.0
Strömsnäsbruk,Markaryd Municipality,2066.0,332.58,621.20,1980.0
Strömstad,Strömstad Municipality,6288.0,340.49,1846.75,4584.0
Strömsund,Strömsund Municipality,3589.0,362.66,989.63,7960.0
Strövelstorp,Ängelholm Municipality,1087.0,85.56,1270.45,3100.0
Stugun,Ragunda Municipality,659.0,124.09,531.07,7964.0
Sturefors,Linköping Municipality,2229.0,104.97,2123.46,1272.0
Sturkö,Karlskrona Municipality,1264.0,577.74,218.78,2740.0
Styrsö,Gothenburg Municipality,1304.0,158.22,824.17,4588.0
Ställdalen,Ljusnarsberg Municipality,539.0,210.35,256.24,6136.0
Stånga,Gotland Municipality,317.0,104.76,302.60,2540.0
Stångby,Lund Municipality,1218.0,78.78,1546.08,3712.0
Stöcke,Umeå Municipality,483.0,49.24,980.91,8332.0
Stöcksjö,Umeå Municipality,215.0,39.04,550.72,8334.0
Stöde,Sundsvall Municipality,572.0,117.79,485.61,7676.0
Stöllet,Torsby Municipality,245.0,80.60,303.97,5816.0
Stöpen,Skövde Municipality,1401.0,89.95,1557.53,5444.0
Sulvik,Arvika Municipality,312.0,79.98,390.10,5820.0
Sund,Trosa Municipality,329.0,115.32,285.29,898.0
Sundborn,Falun Municipality,762.0,87.51,870.76,6768.0
Sundby,Ekerö Municipality,270.0,21.34,1265.23,266.0
Sundbyholm,Eskilstuna Municipality,485.0,75.43,642.98,870.0
Sundhultsbrunn,Aneby Municipality,311.0,40.07,776.14,1684.0
Sundsbruk,Sundsvall Municipality,2137.0,463.06,461.50,7684.0
Sundsvall,Sundsvall Municipality,50712.0,2746.20,1846.62,7688.0
Sunnansjö,Ludvika Municipality,560.0,155.49,360.15,6772.0
Sunne,Sunne Municipality,4931.0,457.42,1078.00,5824.0
Sunnemo,Hagfors Municipality,241.0,58.58,411.40,5828.0
Sunningen,Uddevalla Municipality,742.0,80.15,925.76,4590.0
Surahammar,Surahammar Municipality,6179.0,548.82,1125.87,6332.0
Surte,Ale Municipality,5798.0,361.48,1603.96,5056.0
Svalsta,Nyköping Municipality,1078.0,76.88,1402.19,876.0
Svalöv,Svalöv Municipality,3633.0,239.37,1517.73,3716.0
Svanberga,Norrtälje Municipality,501.0,58.06,862.90,348.0
Svanesund,Orust Municipality,1518.0,154.45,982.84,4592.0
Svanskog,Säffle Municipality,510.0,153.19,332.92,5832.0
Svanvik,Orust Municipality,293.0,34.89,839.78,4594.0
Svappavaara,Kiruna Municipality,417.0,91.51,455.69,8864.0
Svartbyn,Överkalix Municipality,265.0,121.69,217.77,8868.0
Svarte,Ystad Municipality,902.0,62.38,1445.98,3720.0
Svartvik,Sundsvall Municipality,949.0,134.91,703.43,7696.0
Svartå,Degerfors Municipality,495.0,109.79,450.86,6140.0
Svedala,Svedala Municipality,10627.0,488.81,2174.06,3724.0
Sveg,Härjedalen Municipality,2547.0,284.70,894.63,7968.0
Svenljunga,Svenljunga Municipality,3418.0,437.61,781.06,5060.0
Svensbyn,Piteå Municipality,342.0,51.72,661.25,8876.0
Svenshögen,Stenungsund Municipality,421.0,42.72,985.49,4598.0
Svenstavik,Berg Municipality,1004.0,150.68,666.31,7976.0
Svenstorp,Ängelholm Municipality,239.0,23.52,1016.16,3102.0
Svinninge,Österåker Municipality,1636.0,371.06,440.90,350.0
Svängsta,Karlshamn Municipality,1682.0,225.54,745.77,2748.0
Svärdsjö,Falun Municipality,1251.0,135.26,924.89,6776.0
Svärtinge,Norrköping Municipality,2963.0,385.73,768.15,1276.0
Sya,Mjölby Municipality,306.0,35.99,850.24,1280.0
Sysslebäck,Torsby Municipality,527.0,149.95,351.45,5836.0
Säffle,Säffle Municipality,8991.0,735.26,1222.83,5840.0
Sälen,Malung-Sälen Municipality,652.0,132.71,491.30,6784.0
Sälgsjön,Gävle Municipality,207.0,28.08,737.18,7308.0
Särna,Älvdalen Municipality,719.0,364.38,197.32,6788.0
Särö,Kungsbacka Municipality,3165.0,449.55,704.04,4108.0
Säter,Säter Municipality,4429.0,380.52,1163.93,6792.0
Sätila,Mark Municipality,1059.0,108.21,978.65,5064.0
Sätofta,Höör Municipality,1348.0,173.70,776.05,3728.0
Sätra brunn,Sala Municipality,335.0,69.32,483.27,6336.0
Sävar,Umeå Municipality,2670.0,244.52,1091.94,8336.0
Sävast,Boden Municipality,3148.0,358.93,877.05,8878.0
Säve,Gothenburg Municipality,743.0,46.53,1596.82,4596.0
Sävja,Uppsala Municipality,9684.0,402.35,2406.86,632.0
Sävsjö,Sävsjö Municipality,5122.0,439.20,1166.21,1688.0
Sågmyra,Falun Municipality,546.0,153.42,355.89,6780.0
Söderala,Söderhamn Municipality,949.0,168.39,563.57,7312.0
Söderby,Ekerö Municipality,250.0,58.61,426.55,362.0
Söderby-Karl,Norrtälje Municipality,231.0,66.96,344.98,352.0
Söderbärke,Smedjebacken Municipality,924.0,207.92,444.40,6796.0
Söderfors,Tierp Municipality,1572.0,226.52,693.98,636.0
Söderhamn,Söderhamn Municipality,11761.0,1053.26,1116.63,7316.0
Söderköping,Söderköping Municipality,6992.0,402.38,1737.66,1284.0
Söderskogen,Håbo Municipality,378.0,59.36,636.79,638.0
Södersvik,Norrtälje Municipality,281.0,80.27,350.07,354.0
Södertälje,Södertälje Municipality,64619.0,2584.45,2500.30,356.0
Söderåkra,Torsås Municipality,912.0,135.17,674.71,2416.0
Södra Bergsbyn och Stackgrönn,Skellefteå Municipality,393.0,79.69,493.16,8342.0
Södra Klagshamn,Malmö Municipality,1367.0,44.73,3056.11,3524.0
Södra Näs,Varberg Municipality,671.0,60.27,1113.32,4122.0
Södra Sandby,Lund Municipality,6136.0,362.99,1690.40,3732.0
Södra Sunderbyn,Luleå Municipality,2977.0,200.39,1485.60,8880.0
Södra Vi,Vimmerby Municipality,1182.0,156.28,756.33,2420.0
Södra Vrams fälad,Bjuv Municipality,249.0,41.55,599.28,3736.0
Sölvesborg,Sölvesborg Municipality,8401.0,609.84,1377.57,2752.0
Sörfors,Umeå Municipality,403.0,120.85,333.47,8344.0
Sörforsa,Hudiksvall Municipality,1574.0,205.63,765.45,7320.0
Sörmjöle,Umeå Municipality,212.0,26.16,810.40,8348.0
Sörstafors,Hallstahammar Municipality,278.0,43.03,646.06,6340.0
Sörvik,Ludvika Municipality,743.0,136.41,544.68,6804.0
Söråker,Timrå Municipality,2312.0,507.89,455.22,7700.0
Sösdala,Hässleholm Municipality,1811.0,196.57,921.30,3104.0
Sövde,Sjöbo Municipality,291.0,34.73,837.89,3738.0
Sövestad,Ystad Municipality,386.0,43.18,893.93,3740.0
Taberg,Jönköping Municipality,4392.0,349.39,1257.05,1692.0
Tahult,Härryda Municipality,585.0,65.89,887.84,4640.0
Tallvik,Överkalix Municipality,434.0,37.86,1146.33,8884.0
Tallåsen,Ljusdal Municipality,586.0,142.28,411.86,7324.0
Tandsbyn,Östersund Municipality,374.0,58.43,640.08,7984.0
Tanumshede,Tanum Municipality,1697.0,187.48,905.16,4600.0
Tavelsjö,Umeå Municipality,245.0,21.90,1118.72,8352.0
Teckomatorp,Svalöv Municipality,1651.0,121.94,1353.94,3744.0
Tenhult,Jönköping Municipality,2977.0,240.96,1235.47,1696.0
Tibro,Tibro Municipality,8018.0,737.14,1087.72,5456.0
Tidaholm,Tidaholm Municipality,8027.0,570.23,1407.68,5460.0
Tidan,Skövde Municipality,935.0,132.34,706.51,5464.0
Tidö-Lindö,Västerås Municipality,637.0,119.87,531.41,6342.0
Tierp,Tierp Municipality,5587.0,410.73,1360.26,640.0
Tillberga,Västerås Municipality,2180.0,166.43,1309.86,6344.0
Timmele,Ulricehamn Municipality,847.0,121.01,699.94,5068.0
Timmernabben,Mönsterås Municipality,1276.0,148.75,857.82,2424.0
Timmersdala,Skövde Municipality,875.0,67.42,1297.83,5468.0
Timrå,Timrå Municipality,10443.0,1202.53,868.42,7704.0
Timsfors,Markaryd Municipality,637.0,101.62,626.85,1988.0
Tingsryd,Tingsryd Municipality,3037.0,354.38,856.99,1992.0
Tingstäde,Gotland Municipality,265.0,115.63,229.18,2542.0
Tjautjas/Cavccas,Gällivare Municipality,234.0,63.69,367.40,8886.0
Tjuvkil,Kungälv Municipality,501.0,88.68,564.95,4604.0
Tjällmo,Motala Municipality,557.0,71.11,783.29,1292.0
Tjörnarp,Höör Municipality,731.0,118.32,617.82,3748.0
Toarp,Malmö Municipality,219.0,13.32,1644.14,3750.0
Tobo,Tierp Municipality,607.0,103.13,588.58,648.0
Tofta,Varberg Municipality,386.0,55.64,693.75,4112.0
Toftbyn,Falun Municipality,243.0,96.63,251.47,6814.0
Tollarp,Kristianstad Municipality,3284.0,373.30,879.72,3108.0
Tollered,Lerum Municipality,900.0,65.14,1381.64,5072.0
Tomelilla,Tomelilla Municipality,6444.0,568.23,1134.05,3112.0
Torarp,Karlshamn Municipality,263.0,79.31,331.61,2754.0
Torbjörntorp,Falköping Municipality,475.0,74.04,641.55,5472.0
Torekov,Båstad Municipality,863.0,178.10,484.56,3116.0
Torestorp,Mark Municipality,419.0,70.43,594.92,5076.0
Torhamn,Karlskrona Municipality,423.0,102.15,414.10,2760.0
Tormestorp,Hässleholm Municipality,1050.0,102.63,1023.09,3120.0
Torna Hällestad,Lund Municipality,584.0,37.82,1544.16,3480.0
Torpsbruk,Alvesta Municipality,334.0,65.41,510.63,1996.0
Torpshammar,Ånge Municipality,444.0,163.23,272.01,7708.0
Torreby,Munkedal Municipality,215.0,31.36,685.59,4554.0
Torsby,Torsby Municipality,4049.0,548.81,737.78,5844.0
Torsby,Värmdö Municipality,477.0,147.14,324.18,366.0
Torsebro,Kristianstad Municipality,270.0,64.02,421.74,3124.0
Torshälla huvud,Eskilstuna Municipality,492.0,138.74,354.62,882.0
Torshälla,Eskilstuna Municipality,7612.0,563.77,1350.20,880.0
Torsåker,Hofors Municipality,899.0,121.74,738.46,7332.0
Torsång,Borlänge Municipality,666.0,108.04,616.44,6806.0
Torsås,Torsås Municipality,1848.0,247.74,745.94,2428.0
Tortuna,Västerås Municipality,459.0,62.18,738.18,6348.0
Torup,Hylte Municipality,1183.0,162.85,726.44,4116.0
Tosseryd,Borås Municipality,223.0,26.75,833.64,5078.0
Totebo,Västervik Municipality,239.0,49.97,478.29,2432.0
Totra,Gävle Municipality,273.0,75.91,359.64,7336.0
Tranemo,Tranemo Municipality,3168.0,299.14,1059.04,5080.0
Tranholmen,Danderyd Municipality,338.0,41.06,823.19,368.0
Transtrand,Malung-Sälen Municipality,386.0,215.15,179.41,6808.0
Tranås,Tranås Municipality,14197.0,1055.66,1344.85,1700.0
Traryd,Markaryd Municipality,660.0,157.87,418.07,2000.0
Trekanten,Kalmar Municipality,1422.0,194.07,732.73,2436.0
Trelleborg,Trelleborg Municipality,28290.0,1365.73,2071.42,3752.0
Trollhättan,Trollhättan Municipality,46457.0,2377.58,1953.96,5084.0
Trosa,Trosa Municipality,5027.0,360.03,1396.27,884.0
Trulsegården,Gothenburg Municipality,211.0,17.07,1236.09,5086.0
Trädet,Ulricehamn Municipality,277.0,55.45,499.55,5088.0
Träslövsläge,Varberg Municipality,2600.0,159.50,1630.09,4120.0
Trångsviken,Krokom Municipality,288.0,64.27,448.11,7988.0
Tråvad,Vara Municipality,448.0,73.50,609.52,5476.0
Trödje,Gävle Municipality,333.0,70.02,475.58,7340.0
Trönninge,Halmstad Municipality,1504.0,126.41,1189.78,4124.0
Trönninge,Varberg Municipality,880.0,57.60,1527.78,4128.0
Tulebo,Mölndal Municipality,213.0,34.91,610.14,4602.0
Tumba,Botkyrka Municipality Salem Municipality,37852.0,1773.53,2134.27,372.0
Tumbo,Eskilstuna Municipality,292.0,52.73,553.76,886.0
Tumlehed,Gothenburg Municipality,475.0,38.07,1247.70,4510.0
Tun,Lidköping Municipality,206.0,38.01,541.96,5480.0
Tuna,Södertälje Municipality,232.0,34.60,670.52,374.0
Tuna,Vimmerby Municipality,227.0,28.63,792.87,2440.0
Tunadal,Sundsvall Municipality,360.0,177.23,203.13,7716.0
Tunnerstad,Jönköping Municipality,295.0,101.76,289.90,1708.0
Tureholm,Ekerö Municipality,260.0,95.05,273.54,378.0
Tving,Karlskrona Municipality,459.0,102.16,449.30,2764.0
Tvärskog,Kalmar Municipality,404.0,66.53,607.24,2444.0
Tvärålund,Vindeln Municipality,257.0,80.50,319.25,8356.0
Tvååker,Varberg Municipality,2534.0,223.49,1133.83,4132.0
Tygelsjö,Malmö Municipality,2710.0,122.34,2215.14,3756.0
Tylösand,Halmstad Municipality,399.0,51.11,780.67,4134.0
Tyringe,Hässleholm Municipality,4658.0,395.38,1178.11,3128.0
Tystberga,Nyköping Municipality,828.0,92.31,896.98,888.0
Täfteå,Umeå Municipality,1231.0,131.23,938.05,8360.0
Täljö,Österåker Municipality,387.0,91.67,422.17,290.0
Tällberg,Leksand Municipality,606.0,307.96,196.78,6816.0
Tärnaby,Storuman Municipality,482.0,163.92,294.05,8364.0
Tärnsjö,Heby Municipality,1221.0,189.21,645.31,6352.0
Tävelsås,Växjö Municipality,225.0,35.21,639.02,2002.0
Tågarp,Svalöv Municipality Landskrona Municipality,431.0,42.05,1024.97,3760.0
Tånga och Rögle,Helsingborg Municipality,223.0,42.55,524.09,3764.0
Tångaberg,Varberg Municipality,468.0,46.84,999.15,4136.0
Töcksfors,Årjäng Municipality,1158.0,190.86,606.73,5848.0
Töllsjö,Bollebygd Municipality,369.0,44.52,828.84,5092.0
Töre,Kalix Municipality,1099.0,260.55,421.80,8896.0
Töreboda,Töreboda Municipality,4189.0,363.79,1151.49,5484.0
